From Date,To Date,PM10 (ug/m3),PM2.5 (ug/m3),CO (mg/m3),NH3 (ug/m3),NO2 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),Air_Quality_Index(AQI),AQI Category
03-Feb-2018 - 00:00 ,04-Feb-2018 - 00:00 ,256.5,105.12,4.15,40.05,204.26,6.55,17.59,248,3
04-Feb-2018 - 00:00 ,05-Feb-2018 - 00:00 ,281.65,136.11,6.35,36.69,240.65,2.0,14.94,312,4
05-Feb-2018 - 00:00 ,06-Feb-2018 - 00:00 ,429.71,178.25,2.17,35.35,305.72,22.44,14.23,398,4
06-Feb-2018 - 00:00 ,07-Feb-2018 - 00:00 ,325.17,130.33,1.83,41.6,182.89,23.73,18.07,307,4
07-Feb-2018 - 00:00 ,08-Feb-2018 - 00:00 ,292.0,136.5,1.95,27.8,196.97,39.47,13.38,312,4
08-Feb-2018 - 00:00 ,09-Feb-2018 - 00:00 ,411.25,232.33,3.32,26.16,178.95,14.98,17.26,386,4
09-Feb-2018 - 00:00 ,10-Feb-2018 - 00:00 ,491.05,228.17,2.73,29.38,210.39,15.1,13.14,500,4
10-Feb-2018 - 00:00 ,11-Feb-2018 - 00:00 ,419.68,309.75,3.94,26.15,129.76,18.92,25.63,500,4
11-Feb-2018 - 00:00 ,12-Feb-2018 - 00:00 ,359.13,165.12,1.84,46.66,132.08,22.8,17.32,334,4
12-Feb-2018 - 00:00 ,13-Feb-2018 - 00:00 ,149.46,62.0,2.79,33.75,55.25,17.37,7.17,132,2
13-Feb-2018 - 00:00 ,14-Feb-2018 - 00:00 ,237.48,118.92,2.08,46.12,147.16,24.57,18.82,293,3
14-Feb-2018 - 00:00 ,15-Feb-2018 - 00:00 ,218.5,69.25,1.58,36.52,110.63,20.01,19.32,178,2
15-Feb-2018 - 00:00 ,16-Feb-2018 - 00:00 ,217.77,91.25,1.6,38.09,141.62,22.25,18.66,201,3
16-Feb-2018 - 00:00 ,17-Feb-2018 - 00:00 ,291.97,123.94,1.76,35.99,210.82,22.52,12.96,302,4
17-Feb-2018 - 00:00 ,18-Feb-2018 - 00:00 ,347.79,135.17,2.88,39.45,192.83,20.15,16.86,311,4
18-Feb-2018 - 00:00 ,19-Feb-2018 - 00:00 ,343.44,161.5,2.93,35.36,160.3,20.34,17.04,331,4
19-Feb-2018 - 00:00 ,20-Feb-2018 - 00:00 ,386.2,261.25,3.45,35.28,152.91,18.81,21.48,500,4
20-Feb-2018 - 00:00 ,21-Feb-2018 - 00:00 ,516.43,231.17,3.43,37.79,202.56,20.7,19.25,500,4
21-Feb-2018 - 00:00 ,22-Feb-2018 - 00:00 ,381.79,251.17,3.02,43.66,173.97,37.52,21.81,338,4
22-Feb-2018 - 00:00 ,23-Feb-2018 - 00:00 ,441.58,214.75,2.78,41.39,217.95,15.94,17.46,500,4
23-Feb-2018 - 00:00 ,24-Feb-2018 - 00:00 ,543.08,238.29,2.62,56.25,206.58,18.86,19.24,500,4
24-Feb-2018 - 00:00 ,25-Feb-2018 - 00:00 ,415.08,183.33,2.4,41.6,97.83,23.19,15.1,381,4
25-Feb-2018 - 00:00 ,26-Feb-2018 - 00:00 ,312.38,125.0,1.72,48.37,114.64,22.17,22.85,304,4
26-Feb-2018 - 00:00 ,27-Feb-2018 - 00:00 ,252.12,63.17,2.07,36.69,99.48,19.82,14.5,202,3
27-Feb-2018 - 00:00 ,28-Feb-2018 - 00:00 ,270.25,89.5,3.64,35.75,166.19,15.74,14.46,220,3
28-Feb-2018 - 00:00 ,01-Mar-2018 - 00:00 ,380.62,151.17,2.44,44.65,163.35,19.63,17.8,337,4
01-Mar-2018 - 00:00 ,02-Mar-2018 - 00:00 ,438.42,141.71,2.17,35.55,185.31,13.54,18.01,500,4
02-Mar-2018 - 00:00 ,03-Mar-2018 - 00:00 ,362.46,179.5,2.9,34.48,167.68,31.25,17.5,345,4
03-Mar-2018 - 00:00 ,04-Mar-2018 - 00:00 ,249.25,105.25,3.27,40.91,145.38,19.97,20.23,248,3
04-Mar-2018 - 00:00 ,05-Mar-2018 - 00:00 ,258.29,99.58,1.35,33.62,115.24,22.07,16.76,228,3
05-Mar-2018 - 00:00 ,06-Mar-2018 - 00:00 ,232.17,75.46,1.53,30.51,144.43,20.68,15.94,188,2
06-Mar-2018 - 00:00 ,07-Mar-2018 - 00:00 ,247.62,75.67,3.93,31.48,127.49,26.16,14.54,198,2
07-Mar-2018 - 00:00 ,08-Mar-2018 - 00:00 ,268.0,95.35,2.74,27.63,136.16,24.35,15.78,218,3
08-Mar-2018 - 00:00 ,09-Mar-2018 - 00:00 ,521.88,226.08,2.69,34.5,117.44,34.13,34.4,500,4
09-Mar-2018 - 00:00 ,10-Mar-2018 - 00:00 ,352.16,156.12,2.35,43.61,160.12,29.26,34.39,327,4
10-Mar-2018 - 00:00 ,11-Mar-2018 - 00:00 ,224.75,67.79,1.77,31.44,105.28,24.84,16.55,182,2
11-Mar-2018 - 00:00 ,12-Mar-2018 - 00:00 ,222.1,79.6,1.25,35.32,112.6,25.9,19.0,181,2
12-Mar-2018 - 00:00 ,13-Mar-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
13-Mar-2018 - 00:00 ,14-Mar-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
14-Mar-2018 - 00:00 ,15-Mar-2018 - 00:00 ,376.69,79.77,3.1,42.65,185.09,30.2,21.5,332,4
15-Mar-2018 - 00:00 ,16-Mar-2018 - 00:00 ,446.91,141.42,1.79,45.53,158.14,29.32,18.91,500,4
16-Mar-2018 - 00:00 ,17-Mar-2018 - 00:00 ,374.56,154.5,0.9,40.84,131.17,31.6,18.45,329,4
17-Mar-2018 - 00:00 ,18-Mar-2018 - 00:00 ,272.18,93.91,0.75,33.33,127.5,24.09,14.47,222,3
18-Mar-2018 - 00:00 ,19-Mar-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
19-Mar-2018 - 00:00 ,20-Mar-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
20-Mar-2018 - 00:00 ,21-Mar-2018 - 00:00 ,502.0,166.57,1.48,43.85,191.63,73.92,39.92,500,4
21-Mar-2018 - 00:00 ,22-Mar-2018 - 00:00 ,358.25,166.25,0.89,52.45,86.77,43.33,30.26,335,4
22-Mar-2018 - 00:00 ,23-Mar-2018 - 00:00 ,258.0,110.71,1.04,37.79,73.06,28.09,19.78,265,3
23-Mar-2018 - 00:00 ,24-Mar-2018 - 00:00 ,209.21,63.75,1.16,31.03,100.86,30.62,14.23,172,2
24-Mar-2018 - 00:00 ,25-Mar-2018 - 00:00 ,259.85,80.0,0.5,27.88,104.21,32.53,14.69,209,3
25-Mar-2018 - 00:00 ,26-Mar-2018 - 00:00 ,287.52,72.41,1.03,35.52,78.35,39.74,18.09,237,3
26-Mar-2018 - 00:00 ,27-Mar-2018 - 00:00 ,286.0,91.19,1.08,29.55,120.81,27.59,16.67,236,3
27-Mar-2018 - 00:00 ,28-Mar-2018 - 00:00 ,428.91,158.88,1.95,33.25,205.22,30.6,28.32,397,4
28-Mar-2018 - 00:00 ,29-Mar-2018 - 00:00 ,372.14,171.25,1.1,37.29,83.37,42.56,34.76,339,4
29-Mar-2018 - 00:00 ,30-Mar-2018 - 00:00 ,328.87,116.53,0.95,31.45,135.4,35.3,14.88,286,3
30-Mar-2018 - 00:00 ,31-Mar-2018 - 00:00 ,391.27,129.45,1.33,37.09,149.9,16.6,21.19,351,4
31-Mar-2018 - 00:00 ,01-Apr-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
01-Apr-2018 - 00:00 ,02-Apr-2018 - 00:00 ,206.08,73.92,0.84,22.94,74.16,52.01,11.16,170,2
02-Apr-2018 - 00:00 ,03-Apr-2018 - 00:00 ,275.83,110.17,1.72,29.28,86.83,54.43,23.9,265,3
03-Apr-2018 - 00:00 ,04-Apr-2018 - 00:00 ,265.02,111.17,0.6,25.59,77.98,45.8,11.99,269,3
04-Apr-2018 - 00:00 ,05-Apr-2018 - 00:00 ,366.46,143.79,1.35,44.48,143.94,53.05,20.19,319,4
05-Apr-2018 - 00:00 ,06-Apr-2018 - 00:00 ,401.33,212.13,1.64,54.46,169.65,57.95,24.35,370,4
06-Apr-2018 - 00:00 ,07-Apr-2018 - 00:00 ,278.88,97.67,1.16,47.06,104.5,32.43,22.52,228,3
07-Apr-2018 - 00:00 ,08-Apr-2018 - 00:00 ,167.96,54.96,1.19,28.04,59.16,44.04,8.31,144,2
08-Apr-2018 - 00:00 ,09-Apr-2018 - 00:00 ,160.35,49.38,1.1,20.59,47.82,41.2,5.42,140,2
09-Apr-2018 - 00:00 ,10-Apr-2018 - 00:00 ,140.53,49.13,1.25,29.31,49.5,29.26,6.41,126,2
10-Apr-2018 - 00:00 ,11-Apr-2018 - 00:00 ,293.2,80.56,1.12,19.94,97.5,63.56,3.11,243,3
11-Apr-2018 - 00:00 ,12-Apr-2018 - 00:00 ,151.7,54.62,1.51,14.12,61.2,20.62,3.4,134,2
12-Apr-2018 - 00:00 ,13-Apr-2018 - 00:00 ,282.37,66.37,1.62,20.12,112.65,34.94,8.69,232,3
13-Apr-2018 - 00:00 ,14-Apr-2018 - 00:00 ,365.75,140.58,1.94,21.98,113.03,59.3,9.85,318,4
14-Apr-2018 - 00:00 ,15-Apr-2018 - 00:00 ,328.39,163.05,1.16,25.25,107.93,66.92,7.65,333,4
15-Apr-2018 - 00:00 ,16-Apr-2018 - 00:00 ,181.47,132.0,4.41,32.69,141.16,41.59,27.65,309,4
16-Apr-2018 - 00:00 ,17-Apr-2018 - 00:00 ,437.56,180.29,2.53,42.48,148.82,56.27,24.5,500,4
17-Apr-2018 - 00:00 ,18-Apr-2018 - 00:00 ,422.22,105.8,2.05,27.31,205.92,41.03,7.25,389,4
18-Apr-2018 - 00:00 ,19-Apr-2018 - 00:00 ,338.58,74.58,1.71,30.43,77.44,52.6,12.36,288,3
19-Apr-2018 - 00:00 ,20-Apr-2018 - 00:00 ,378.75,92.83,2.35,28.29,156.12,41.66,15.74,334,4
20-Apr-2018 - 00:00 ,21-Apr-2018 - 00:00 ,404.05,108.03,1.43,34.99,83.42,29.71,16.1,367,4
21-Apr-2018 - 00:00 ,22-Apr-2018 - 00:00 ,517.29,179.92,2.1,24.3,89.37,36.66,7.54,500,4
22-Apr-2018 - 00:00 ,23-Apr-2018 - 00:00 ,272.38,112.0,1.35,12.95,60.95,48.07,2.55,272,3
23-Apr-2018 - 00:00 ,24-Apr-2018 - 00:00 ,267.46,94.25,1.64,16.89,93.92,52.98,7.62,217,3
24-Apr-2018 - 00:00 ,25-Apr-2018 - 00:00 ,356.04,142.46,2.59,29.46,196.07,38.79,12.54,317,4
25-Apr-2018 - 00:00 ,26-Apr-2018 - 00:00 ,551.42,171.12,2.12,23.48,220.05,25.99,18.25,500,4
26-Apr-2018 - 00:00 ,27-Apr-2018 - 00:00 ,484.33,232.03,2.45,32.24,165.04,66.37,19.62,500,4
27-Apr-2018 - 00:00 ,28-Apr-2018 - 00:00 ,351.92,97.75,1.67,9.43,39.76,20.05,3.03,301,4
28-Apr-2018 - 00:00 ,29-Apr-2018 - 00:00 ,337.33,84.82,1.84,12.91,40.72,32.1,3.13,287,3
29-Apr-2018 - 00:00 ,30-Apr-2018 - 00:00 ,275.88,99.21,1.9,19.99,43.51,35.64,4.21,228,3
30-Apr-2018 - 00:00 ,01-May-2018 - 00:00 ,272.0,146.39,1.8,20.74,56.98,25.35,4.11,320,4
01-May-2018 - 00:00 ,02-May-2018 - 00:00 ,188.92,49.25,1.48,5.39,28.54,10.29,1.66,158,2
02-May-2018 - 00:00 ,03-May-2018 - 00:00 ,194.72,58.54,1.6,10.7,40.65,24.08,3.43,162,2
03-May-2018 - 00:00 ,04-May-2018 - 00:00 ,176.79,48.67,1.61,10.37,41.55,25.84,2.2,150,2
04-May-2018 - 00:00 ,05-May-2018 - 00:00 ,147.25,51.38,1.84,8.98,41.83,21.51,2.07,131,2
05-May-2018 - 00:00 ,06-May-2018 - 00:00 ,288.25,93.33,2.32,19.29,103.41,44.43,7.33,238,3
06-May-2018 - 00:00 ,07-May-2018 - 00:00 ,412.46,130.83,1.52,26.18,127.71,34.65,20.47,377,4
07-May-2018 - 00:00 ,08-May-2018 - 00:00 ,508.58,185.33,2.55,27.54,166.32,53.37,22.31,500,4
08-May-2018 - 00:00 ,09-May-2018 - 00:00 ,231.88,81.79,1.67,22.29,56.78,39.29,7.54,187,2
09-May-2018 - 00:00 ,10-May-2018 - 00:00 ,392.41,110.67,2.17,31.32,79.46,38.57,12.7,352,4
10-May-2018 - 00:00 ,11-May-2018 - 00:00 ,387.38,120.79,2.48,29.11,141.7,40.39,7.96,346,4
11-May-2018 - 00:00 ,12-May-2018 - 00:00 ,414.38,194.88,2.44,29.24,205.7,41.53,8.75,379,4
12-May-2018 - 00:00 ,13-May-2018 - 00:00 ,487.32,242.49,2.03,15.96,137.05,35.75,8.13,500,4
13-May-2018 - 00:00 ,14-May-2018 - 00:00 ,236.59,80.33,2.04,9.39,31.71,21.48,1.69,190,2
14-May-2018 - 00:00 ,15-May-2018 - 00:00 ,154.88,51.12,1.53,8.63,27.06,36.34,1.81,136,2
15-May-2018 - 00:00 ,16-May-2018 - 00:00 ,185.5,73.04,1.64,6.67,26.5,30.28,3.16,156,2
16-May-2018 - 00:00 ,17-May-2018 - 00:00 ,285.58,82.12,1.65,11.93,44.56,30.34,5.31,235,3
17-May-2018 - 00:00 ,18-May-2018 - 00:00 ,319.42,112.75,1.69,23.06,88.79,56.08,7.06,272,3
18-May-2018 - 00:00 ,19-May-2018 - 00:00 ,308.79,117.46,1.71,32.82,100.04,52.23,16.82,289,3
19-May-2018 - 00:00 ,20-May-2018 - 00:00 ,446.46,127.75,3.41,34.55,182.49,48.43,15.81,500,4
20-May-2018 - 00:00 ,21-May-2018 - 00:00 ,332.21,104.92,1.42,28.28,93.54,35.84,9.1,282,3
21-May-2018 - 00:00 ,22-May-2018 - 00:00 ,241.58,72.29,1.83,23.52,59.89,45.4,16.82,194,2
22-May-2018 - 00:00 ,23-May-2018 - 00:00 ,317.42,121.94,2.49,19.58,105.41,42.13,23.96,301,4
23-May-2018 - 00:00 ,24-May-2018 - 00:00 ,444.67,177.79,3.08,25.79,143.71,71.23,17.12,500,4
24-May-2018 - 00:00 ,25-May-2018 - 00:00 ,389.29,134.84,2.04,35.82,90.9,40.15,10.94,348,4
25-May-2018 - 00:00 ,26-May-2018 - 00:00 ,361.25,111.21,2.38,25.7,200.78,58.6,9.87,313,4
26-May-2018 - 00:00 ,27-May-2018 - 00:00 ,307.0,101.42,2.07,25.39,171.37,33.92,10.03,257,3
27-May-2018 - 00:00 ,28-May-2018 - 00:00 ,359.54,115.46,1.89,24.26,244.16,44.03,9.59,311,4
28-May-2018 - 00:00 ,29-May-2018 - 00:00 ,290.0,125.5,2.44,43.63,75.72,36.3,15.96,304,4
29-May-2018 - 00:00 ,30-May-2018 - 00:00 ,303.46,124.17,1.9,21.47,133.11,31.15,5.18,303,4
30-May-2018 - 00:00 ,31-May-2018 - 00:00 ,267.12,56.67,1.65,14.03,45.86,22.17,2.32,217,3
31-May-2018 - 00:00 ,01-Jun-2018 - 00:00 ,258.83,70.12,1.68,14.73,54.34,18.41,2.61,208,3
01-Jun-2018 - 00:00 ,02-Jun-2018 - 00:00 ,226.58,71.38,1.65,5.46,34.5,16.3,1.86,184,2
02-Jun-2018 - 00:00 ,03-Jun-2018 - 00:00 ,146.5,44.04,1.71,5.21,35.46,26.71,0.95,130,2
03-Jun-2018 - 00:00 ,04-Jun-2018 - 00:00 ,143.67,55.87,1.72,10.19,38.81,14.29,1.67,128,2
04-Jun-2018 - 00:00 ,05-Jun-2018 - 00:00 ,179.09,58.62,1.54,5.37,38.53,15.67,1.47,152,2
05-Jun-2018 - 00:00 ,06-Jun-2018 - 00:00 ,158.83,49.75,1.77,5.13,37.56,19.35,4.47,138,2
06-Jun-2018 - 00:00 ,07-Jun-2018 - 00:00 ,170.33,58.96,1.83,23.26,58.93,23.1,4.96,146,2
07-Jun-2018 - 00:00 ,08-Jun-2018 - 00:00 ,178.91,184.95,1.9,12.42,44.54,21.81,8.52,349,4
08-Jun-2018 - 00:00 ,09-Jun-2018 - 00:00 ,214.25,112.67,1.61,5.89,29.49,19.06,7.12,272,3
09-Jun-2018 - 00:00 ,10-Jun-2018 - 00:00 ,126.46,26.54,1.79,4.84,25.12,17.2,4.38,117,2
10-Jun-2018 - 00:00 ,11-Jun-2018 - 00:00 ,322.87,90.8,2.15,18.99,49.51,31.49,7.8,272,3
11-Jun-2018 - 00:00 ,12-Jun-2018 - 00:00 ,337.83,86.83,1.57,12.69,42.98,22.97,7.5,287,3
12-Jun-2018 - 00:00 ,13-Jun-2018 - 00:00 ,514.06,168.21,1.85,8.1,48.64,18.38,11.09,500,4
13-Jun-2018 - 00:00 ,14-Jun-2018 - 00:00 ,682.57,330.46,1.96,20.79,111.35,18.85,7.18,500,4
14-Jun-2018 - 00:00 ,15-Jun-2018 - 00:00 ,657.17,258.38,1.8,30.88,93.65,23.16,6.45,500,4
15-Jun-2018 - 00:00 ,16-Jun-2018 - 00:00 ,488.86,252.71,1.73,13.48,61.43,21.58,5.61,500,4
16-Jun-2018 - 00:00 ,17-Jun-2018 - 00:00 ,611.94,183.98,1.83,9.78,36.93,17.32,6.2,500,4
17-Jun-2018 - 00:00 ,18-Jun-2018 - 00:00 ,320.83,108.33,1.67,5.93,27.12,21.91,5.02,270,3
18-Jun-2018 - 00:00 ,19-Jun-2018 - 00:00 ,255.54,94.83,1.47,8.69,28.35,23.8,9.22,211,3
19-Jun-2018 - 00:00 ,20-Jun-2018 - 00:00 ,206.82,68.32,1.71,8.84,36.51,26.6,6.2,170,2
20-Jun-2018 - 00:00 ,21-Jun-2018 - 00:00 ,278.35,95.76,1.94,19.97,31.73,41.87,13.99,228,3
21-Jun-2018 - 00:00 ,22-Jun-2018 - 00:00 ,348.0,104.37,1.81,18.42,49.05,28.5,9.02,298,3
22-Jun-2018 - 00:00 ,23-Jun-2018 - 00:00 ,392.41,132.7,2.82,24.87,79.49,48.51,37.22,352,4
23-Jun-2018 - 00:00 ,24-Jun-2018 - 00:00 ,310.71,97.5,1.94,21.04,82.32,24.77,15.77,260,3
24-Jun-2018 - 00:00 ,25-Jun-2018 - 00:00 ,211.02,76.76,1.34,24.2,73.74,41.04,14.67,174,2
25-Jun-2018 - 00:00 ,26-Jun-2018 - 00:00 ,72.95,59.61,0.04,5.49,82.32,9.47,11.43,102,2
26-Jun-2018 - 00:00 ,27-Jun-2018 - 00:00 ,268.86,73.36,1.66,51.99,82.32,17.71,17.5,218,3
27-Jun-2018 - 00:00 ,28-Jun-2018 - 00:00 ,229.0,67.33,2.01,51.99,82.32,9.57,18.98,186,2
28-Jun-2018 - 00:00 ,29-Jun-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
29-Jun-2018 - 00:00 ,30-Jun-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
30-Jun-2018 - 00:00 ,01-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
01-Jul-2018 - 00:00 ,02-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
02-Jul-2018 - 00:00 ,03-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
03-Jul-2018 - 00:00 ,04-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
04-Jul-2018 - 00:00 ,05-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
05-Jul-2018 - 00:00 ,06-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
06-Jul-2018 - 00:00 ,07-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
07-Jul-2018 - 00:00 ,08-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
08-Jul-2018 - 00:00 ,09-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
09-Jul-2018 - 00:00 ,10-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
10-Jul-2018 - 00:00 ,11-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
11-Jul-2018 - 00:00 ,12-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
12-Jul-2018 - 00:00 ,13-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
13-Jul-2018 - 00:00 ,14-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
14-Jul-2018 - 00:00 ,15-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
15-Jul-2018 - 00:00 ,16-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
16-Jul-2018 - 00:00 ,17-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
17-Jul-2018 - 00:00 ,18-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
18-Jul-2018 - 00:00 ,19-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
19-Jul-2018 - 00:00 ,20-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
20-Jul-2018 - 00:00 ,21-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
21-Jul-2018 - 00:00 ,22-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
22-Jul-2018 - 00:00 ,23-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
23-Jul-2018 - 00:00 ,24-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
24-Jul-2018 - 00:00 ,25-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
25-Jul-2018 - 00:00 ,26-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
26-Jul-2018 - 00:00 ,27-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
27-Jul-2018 - 00:00 ,28-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
28-Jul-2018 - 00:00 ,29-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
29-Jul-2018 - 00:00 ,30-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
30-Jul-2018 - 00:00 ,31-Jul-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
31-Jul-2018 - 00:00 ,01-Aug-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
01-Aug-2018 - 00:00 ,02-Aug-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
02-Aug-2018 - 00:00 ,03-Aug-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
03-Aug-2018 - 00:00 ,04-Aug-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
04-Aug-2018 - 00:00 ,05-Aug-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
05-Aug-2018 - 00:00 ,06-Aug-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
06-Aug-2018 - 00:00 ,07-Aug-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
07-Aug-2018 - 00:00 ,08-Aug-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
08-Aug-2018 - 00:00 ,09-Aug-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
09-Aug-2018 - 00:00 ,10-Aug-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
10-Aug-2018 - 00:00 ,11-Aug-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
11-Aug-2018 - 00:00 ,12-Aug-2018 - 00:00 ,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
12-Aug-2018 - 00:00 ,13-Aug-2018 - 00:00 ,224.0,51.0,2.01,2.5,8.2,18.4,9.3,182,2
13-Aug-2018 - 00:00 ,14-Aug-2018 - 00:00 ,172.13,42.72,1.59,19.51,18.32,22.95,9.27,148,2
14-Aug-2018 - 00:00 ,15-Aug-2018 - 00:00 ,206.62,65.27,1.84,14.11,12.22,41.54,10.3,170,2
15-Aug-2018 - 00:00 ,16-Aug-2018 - 00:00 ,163.19,49.05,1.27,11.89,10.85,24.9,9.82,142,2
16-Aug-2018 - 00:00 ,17-Aug-2018 - 00:00 ,157.22,47.13,1.37,9.3,10.15,40.36,10.62,138,2
17-Aug-2018 - 00:00 ,18-Aug-2018 - 00:00 ,118.5,40.57,1.41,6.47,5.22,39.18,9.6,112,2
18-Aug-2018 - 00:00 ,19-Aug-2018 - 00:00 ,110.33,40.1,2.21,6.78,6.07,36.5,10.31,106,2
19-Aug-2018 - 00:00 ,20-Aug-2018 - 00:00 ,176.21,71.68,2.4,4.46,10.78,33.35,11.37,150,2
20-Aug-2018 - 00:00 ,21-Aug-2018 - 00:00 ,193.68,77.62,2.41,16.49,19.52,56.66,8.7,162,2
21-Aug-2018 - 00:00 ,22-Aug-2018 - 00:00 ,112.59,32.3,1.85,28.83,23.5,30.79,9.67,108,2
22-Aug-2018 - 00:00 ,23-Aug-2018 - 00:00 ,101.08,31.5,1.58,35.88,26.69,26.51,9.65,101,2
23-Aug-2018 - 00:00 ,24-Aug-2018 - 00:00 ,96.23,37.32,2.15,27.85,28.35,12.13,9.61,101,2
24-Aug-2018 - 00:00 ,25-Aug-2018 - 00:00 ,170.52,39.53,2.42,25.61,25.7,11.41,9.96,146,2
25-Aug-2018 - 00:00 ,26-Aug-2018 - 00:00 ,168.96,34.65,1.69,25.86,36.76,19.04,20.99,145,2
26-Aug-2018 - 00:00 ,27-Aug-2018 - 00:00 ,178.5,33.22,30.85,25.94,34.64,11.5,0.8,381,4
27-Aug-2018 - 00:00 ,28-Aug-2018 - 00:00 ,98.02,30.59,19.26,27.97,55.21,11.95,0.96,314,4
28-Aug-2018 - 00:00 ,29-Aug-2018 - 00:00 ,88.97,38.01,13.4,9.11,37.07,12.0,1.21,248,3
29-Aug-2018 - 00:00 ,30-Aug-2018 - 00:00 ,95.03,33.9,17.9,18.36,23.77,11.02,1.02,306,4
30-Aug-2018 - 00:00 ,31-Aug-2018 - 00:00 ,172.47,102.93,31.02,28.49,30.63,14.37,1.57,382,4
31-Aug-2018 - 00:00 ,01-Sep-2018 - 00:00 ,248.63,55.77,28.54,23.54,30.76,11.09,2.1,368,4
01-Sep-2018 - 00:00 ,02-Sep-2018 - 00:00 ,118.71,51.76,2.01,51.99,23.19,15.87,2.06,112,2
02-Sep-2018 - 00:00 ,03-Sep-2018 - 00:00 ,131.48,62.03,2.01,51.99,38.47,11.44,2.04,120,2
